property_id,lat,lng,addr_street,suburb,price,property_type,year,bedrooms,bathrooms,parking_space,Shopping_center_id,Distance_to_sc,Train_station_id,Distance_to_train_station,travel_min_to_CBD,Transfer_flag,Hospital_id,Distance_to_hospital,Supermarket_id,Distance_to_supermaket
12000,-37.723743,144.772052,1 Lemco Walk,DELAHEY,5180000,house,2014,3,2,2,SC_048,2878,20001,2006,36,0,hospital_057,5540,S_094,2414
18893,-37.665811,144.937556,447 Barry Road,DALLAS,3696000,house,2014,3,1,1,SC_072,2153,19960,810,39,0,hospital_104,2261,S_153,1958
37137,-37.649086,145.040432,25 Lowalde Drive,EPPING,4928000,house,2010,3,1,2,SC_062,3983,20005,980,43,0,hospital_053,2128,S_229,2687
51800,-37.80485,145.192626,15 Chippewa Avenue,DONVALE,5280000,house,2013,3,2,2,SC_088,1978,19900,1466,40,0,hospital_070,565,S_202,2566
69944,-37.8658,145.077881,32 Lexia Street,ASHBURTON,21250000,house,2011,4,2,2,SC_042,1756,19847,321,37,0,hospital_098,654,S_112,1397
3117,-37.809803,144.888222,22 O'Farrell Street,YARRAVILLE,2795000,house,2013,3,1,1,SC_043,2958,19997,661,15,0,hospital_056,1864,S_201,1326
25812,-37.587577,144.933467,2 Heathwood Close,CRAIGIEBURN,4575000,house,2016,3,1,1,SC_110,1307,40221,1808,46,0,hospital_104,7120,S_178,717
78073,-37.92576,145.190679,42 Stadium Circuit,MULGRAVE,8720000,house,2016,4,2,2,SC_073,2210,19913,4204,44,0,hospital_161,2434,S_067,1157
67687,-37.760072,145.37028,8 AQUARIUS COURT,LILYDALE,8325000,house,2013,5,3,3,SC_084,4963,19876,2050,60,0,hospital_113,1380,S_233,1800
85012,-37.884796,144.988239,51 Spray Street,ELWOOD,17160000,house,2010,3,1,0,SC_015,1911,19954,1112,17,0,hospital_116,1856,S_133,1378
39871,-37.695081,145.062472,18 Milton Parade,BUNDOORA,8866000,house,2016,3,1,1,SC_062,5240,19984,2579,34,0,hospital_041,404,S_155,782
8334,-37.750126,144.748882,251 Westwood Drive,BURNSIDE,6240000,house,2016,4,2,2,SC_048,2018,20002,4542,33,0,hospital_057,5889,S_156,553
83528,-37.85292816,144.988205,14/31 Upton Road,WINDSOR,6902000,house,2009,2,1,1,SC_066,785,19958,406,9,0,hospital_155,773,S_115,1595
31403,-37.761134,145.01009,65 Clyde Street,THORNBURY,11577000,house,2011,2,1,1,SC_103,2504,20015,1194,21,0,hospital_035,280,S_105,1256
85272,-37.879572,145.008479,14A Prahran Grove,ELSTERNWICK,20300000,house,2009,4,2,1,SC_015,2724,19954,881,17,0,hospital_079,655,S_193,855
59167,-37.81562,145.176821,99 Springvale Road,NUNAWADING,7215000,house,2014,2,1,1,SC_088,478,19899,580,37,0,hospital_010,1625,S_202,924
52123,-37.824307,145.009494,11 Bunting Street,RICHMOND,12032000,house,2013,2,1,1,SC_038,1814,19906,400,13,0,hospital_122,703,S_102,1789
11876,-37.723272,144.826211,5 Tarwin Court,KEILOR,6888000,house,2015,4,2,3,SC_107,1716,20001,2936,36,0,hospital_005,4261,S_222,2043
68080,-37.849482,145.019766,4 Devorgilla Avenue,TOORAK,32480000,house,2013,2,2,1,SC_038,1417,19946,535,23,0,hospital_132,1087,S_115,1284
22230,-37.736666,144.960963,2 May Street,COBURG,10480000,house,2016,2,1,2,SC_030,1065,19964,387,30,0,hospital_084,1953,S_172,671
76014,-37.908772,145.094326,28 Andrew Street,OAKLEIGH,10030000,house,2012,2,1,1,SC_087,2527,19916,749,36,0,hospital_166,1472,S_010,1769
74193,-37.91566086,145.2836914,9 Grange Drive,LYSTERFIELD,7263000,house,2009,5,3,2,SC_049,3200,19867,3307,58,0,hospital_150,3198,S_199,2923
55050,-37.849425,145.09527,14/234 Warrigal Road,CAMBERWELL,1989000,house,2015,1,1,0,SC_042,3125,19849,1319,34,0,hospital_089,896,S_112,1899
20430,-37.758533,144.951437,12 Thistle Street,BRUNSWICK,9772000,house,2014,4,2,0,SC_030,2911,19967,868,23,0,hospital_011,745,S_074,1464
87230,-37.92085,145.002924,93 Roslyn Street,BRIGHTON,32250000,house,2011,4,3,2,SC_046,3739,19951,862,22,0,hospital_156,1421,S_009,884
2642,-37.818766,144.887846,10 Gladstone Street,YARRAVILLE,7027500,house,2016,1,1,0,SC_043,3630,19996,373,16,0,hospital_056,2857,S_201,2196
93084,-37.991731,145.086516,26 Victoria Street,PARKDALE,14400000,house,2014,4,2,2,SC_003,2304,19864,906,41,0,hospital_001,1206,S_003,1183
67906,-37.84463501,145.0182037,18 Cole Court,TOORAK,16800000,house,2009,3,3,1,SC_038,985,19946,781,23,0,hospital_132,1336,S_102,997
49941,-37.766407,145.095519,15 William Street,BULLEEN,6534000,house,2010,4,1,1,SC_009,328,19935,3237,26,0,hospital_193,1888,S_154,391
13385,-37.700833,144.744958,7 Anastasia Court,HILLSIDE,6870000,house,2012,5,2,2,SC_048,3589,20000,2574,39,0,hospital_057,9033,S_163,991
70008,-37.872653,145.096867,38 Jingella Avenue,ASHWOOD,7010000,house,2010,2,1,0,SC_042,703,19839,579,26,0,hospital_098,1426,S_112,743
52067,-37.810996,144.995702,10 Lennox Street,RICHMOND,11200000,house,2015,2,1,0,SC_068,2121,19977,289,8,0,hospital_042,530,S_076,156
23167,-37.749816,144.96446,8 Alfred Street,COBURG,10832000,house,2014,3,1,1,SC_030,2313,19966,569,26,0,hospital_084,716,S_173,821
84887,-37.877894,144.979523,336 Barkly Street,ELWOOD,9350000,house,2011,3,1,1,SC_015,1030,19955,1398,15,0,hospital_103,2206,S_017,1050
28709,-37.79813004,144.9887238,81 Easey Street,COLLINGWOOD,7202000,house,2008,2,1,0,SC_008,2256,19975,517,11,0,hospital_178,1338,S_060,608
82445,-38.000852,145.247463,9 Allison Avenue,EUMEMMERRING,7455000,house,2010,3,1,1,SC_077,488,19885,2714,59,0,hospital_119,3052,S_212,1654
15738,-37.745811,144.890635,4 Ida Street,NIDDRIE,15400000,house,2016,3,1,1,SC_082,1861,20037,2520,21,0,hospital_184,1330,S_197,1751
92785,-37.987102,145.072471,16 Third Street,PARKDALE,20960000,house,2015,5,2,3,SC_003,2298,19864,746,41,0,hospital_001,393,S_003,532
60425,-37.840833,145.199277,11 Lucerne Street,VERMONT,8710000,house,2015,4,2,2,SC_088,2955,19900,2620,40,0,hospital_008,2603,S_202,2767
87096,-37.92132,145.004706,78 Champion Street,BRIGHTON,14000000,house,2011,3,3,2,SC_046,3580,19951,1010,22,0,hospital_156,1570,S_009,1034
40568,-37.688676,145.071258,4 Noonan Street,BUNDOORA,10800000,house,2015,4,2,2,SC_062,4305,19984,2715,34,0,hospital_041,796,S_155,1825
76332,-37.9070549,145.0805206,6 Moorookyle Avenue,HUGHESDALE,8750000,house,2008,3,1,3,SC_087,2077,19917,1011,34,0,hospital_159,2062,S_010,1700
55219,-37.83387495,145.0802571,2 Griotte Street,CAMBERWELL,3764000,house,2015,3,1,1,SC_099,2223,19851,899,30,0,hospital_168,2601,S_160,823
51464,-37.782848,145.120488,48 Rathmullen Quadrant,DONCASTER,23120000,house,2015,4,2,2,SC_091,676,20042,4050,30,0,hospital_194,1156,S_188,556
70023,-37.869583,145.086609,3a Crete Avenue,ASHBURTON,7020000,house,2014,3,1,2,SC_042,965,19847,627,37,0,hospital_098,643,S_112,719
3081,-37.819397,144.897221,20A Frederick Street,YARRAVILLE,7040000,house,2013,3,1,0,SC_043,4251,19996,753,16,0,hospital_056,3080,S_201,2077
66407,-37.776488,145.328626,432B Hull Road,MOOROOLBARK,4400000,house,2011,3,1,2,SC_084,2416,19877,1698,54,0,hospital_113,2812,S_168,2132
45299,-37.702655,145.112743,58 Hume Street,GREENSBOROUGH,3870000,house,2013,4,1,1,SC_051,5248,19985,422,38,0,hospital_075,665,S_210,897
71064,-37.861769,145.216633,11 The Grange,WANTIRNA,14690000,house,2016,4,2,2,SC_067,4745,19871,4459,46,0,hospital_008,1635,S_226,655
60590,-37.838084,145.185197,20 Woodcrest Road,VERMONT,8325000,house,2015,4,1,2,SC_088,2146,19899,2147,37,0,hospital_061,2616,S_202,1764
26000,-37.587642,144.923912,22 Maple Place,CRAIGIEBURN,3850000,house,2012,4,2,2,SC_016,1063,40221,2328,46,0,hospital_104,7026,S_178,1137
54458,-37.825722,145.038976,37 Swinburne Avenue,HAWTHORN,27200000,house,2011,4,2,1,SC_083,656,19904,524,20,0,hospital_127,387,S_208,712
35806,-37.723206,145.016773,97 North Road,RESERVOIR,4120000,house,2016,2,1,2,SC_047,2083,20010,1112,32,0,hospital_139,1763,S_225,1070
14002,-37.746149,144.917516,2 Cooke Street,ESSENDON,28050000,house,2016,5,3,2,SC_082,1714,20036,324,24,0,hospital_184,1176,S_197,647
92576,-38.01875305,145.0992584,10 Helm Street,ASPENDALE,5200000,house,2008,3,2,0,SC_003,5376,19862,976,46,0,hospital_001,3896,S_119,1623
81550,-37.9981,145.198778,86b Willumway,DANDENONG,7680000,house,2011,3,2,2,SC_117,1841,19888,1320,54,0,hospital_119,2285,S_184,1981
18982,-37.665072,144.931711,505 Barry Road,DALLAS,4425000,house,2010,4,1,1,SC_072,1800,44817,673,40,0,hospital_104,1884,S_153,1699
27949,-37.604227,144.915693,9 Pinevalley Rise,CRAIGIEBURN,5740000,house,2014,3,2,2,SC_016,1274,40221,2451,46,0,hospital_104,5190,S_178,1976
32380,-37.744486,145.013518,24 Jackman Street,PRESTON,9044000,house,2012,3,1,1,SC_103,1155,20013,1182,25,0,hospital_035,2111,S_105,1138
47487,-37.718779,145.146627,71 Bridge Street,ELTHAM,6860000,house,2011,2,1,1,SC_051,5153,19987,592,44,0,hospital_075,3898,S_194,1086
10864,-37.785913,144.933218,76 Shields Street,FLEMINGTON,10224000,house,2009,2,1,0,SC_011,1553,20040,405,15,0,hospital_114,1001,S_086,490
82369,-37.98989,145.247671,7 Laburnum Grove,DOVETON,2976000,house,2014,3,1,1,SC_077,1704,19888,3329,54,0,hospital_119,2574,S_195,1624
66254,-37.770808,145.317971,33 Old Kent Road,MOOROOLBARK,3690000,house,2014,4,2,2,SC_084,1453,19877,1627,54,0,hospital_113,3386,S_168,1310
90256,-37.969879,145.063563,20 Evesham Road,CHELTENHAM,11781000,house,2011,3,2,0,SC_003,2242,19866,868,37,0,hospital_082,1204,S_011,1304
30847,-37.75744,145.013049,173A Mansfield Street,THORNBURY,9020000,house,2016,2,1,3,SC_103,2215,20014,1302,23,0,hospital_035,762,S_105,1091
81653,-37.995818,145.240104,10 Prunus Grove,DOVETON,4872000,house,2015,3,1,2,SC_077,1267,19888,2743,54,0,hospital_119,2203,S_184,2283
66014,-37.774437,145.325708,21 Orrong Road,MOOROOLBARK,5655000,house,2015,3,1,1,SC_084,2088,19877,1640,54,0,hospital_113,2911,S_168,1824
23446,-37.655486,144.890171,16 Murray Close,GREENVALE,13680000,house,2015,5,3,2,SC_075,1932,44817,3221,40,0,hospital_104,2718,S_211,1885
46122,-37.714766,145.126035,4a Calrossie Avenue,MONTMORENCY,6255000,house,2011,2,1,1,SC_051,5453,19986,402,40,0,hospital_075,2075,S_210,2440
68899,-37.863494,145.032708,2 Glendearg Grove,MALVERN,17360000,house,2011,3,2,1,SC_023,1672,19944,429,20,0,hospital_157,83,S_235,496
13384,-37.7146,144.771344,7 Alexander Close,DELAHEY,4615000,house,2014,3,2,2,SC_048,3328,20000,1520,39,0,hospital_057,6366,S_094,1435
44104,-37.690309,145.102469,107 Plenty River Drive,GREENSBOROUGH,5740000,house,2012,3,1,2,SC_062,4553,19985,1602,38,0,hospital_075,1677,S_210,1425
87622,-37.938793,144.999914,31 Orlando Street,HAMPTON,20100000,house,2014,4,1,1,SC_046,3375,19949,164,27,0,hospital_036,525,S_088,277
89924,-37.958038,145.061727,12 Hartwell Place,CHELTENHAM,10400000,house,2015,4,1,2,SC_079,2066,19866,1147,37,0,hospital_082,510,S_023,542
63691,-37.7894249,145.3043213,178 Lincoln Road,CROYDON,16800000,house,2009,4,2,2,SC_022,2156,19877,881,54,0,hospital_164,4747,S_224,1511
68835,-37.850692,145.031981,15 Woodmason Street,MALVERN,5050000,house,2012,5,3,2,SC_038,2370,19911,870,15,0,hospital_157,1352,S_235,1091
66385,-37.76423,145.326003,41 Landscape Drive,MOOROOLBARK,5400000,house,2010,4,2,2,SC_084,1259,19876,2142,60,0,hospital_113,2546,S_168,871
42816,-37.7184906,145.0765076,126A Somers Avenue,MACLEOD,4332000,house,2009,3,1,1,SC_017,4208,19984,1056,34,0,hospital_037,2516,S_020,2581
90784,-37.968433,145.067759,5 Tenham Grove,CHELTENHAM,8190000,house,2010,3,1,1,SC_003,1894,19866,1175,37,0,hospital_109,896,S_023,1448
25061,-37.5733875,144.9242433,101 Cradle mountain Drive,CRAIGIEBURN,6400000,house,2012,4,2,2,SC_005,360,40221,3584,46,0,hospital_104,8612,S_178,2451
57214,-37.821147,145.079046,2A Erica Street,CANTERBURY,6596000,house,2016,2,1,3,SC_099,1881,19893,418,29,0,hospital_064,3038,S_160,1697
86991,-37.90823,144.999233,66 St Andrews Street,BRIGHTON,16240000,house,2012,3,2,2,SC_015,4693,19952,476,20,0,hospital_156,781,S_151,556
58523,-37.814414,145.174736,116 Esdale Street,NUNAWADING,7939000,house,2010,3,1,0,SC_002,622,19899,689,37,0,hospital_070,1753,S_202,1065
76931,-37.921993,145.128325,6 Luke Street,CLAYTON,6632000,house,2010,4,2,0,SC_073,5355,19915,747,39,0,hospital_076,681,S_169,959
26656,-37.577504,144.932919,37 Bowral Loop,CRAIGIEBURN,6460000,house,2011,3,2,2,SC_005,1147,40221,2858,46,0,hospital_104,8222,S_178,1839
44450,-37.69437,145.129896,18 Vanessa Court,ST HELENA,9675000,house,2012,4,2,2,SC_051,3495,19985,2185,38,0,hospital_075,2432,S_051,1178
43251,-37.710464,145.066849,64 Gresswell Road,MACLEOD,11840000,house,2010,3,2,2,SC_047,4486,19984,1493,34,0,hospital_037,1283,S_155,1682
73382,-37.865355,145.294493,27 Interman Road,BORONIA,8670000,house,2014,3,2,1,SC_049,3452,19869,1043,53,0,hospital_049,1080,S_146,835
43187,-37.728820999999996,145.090378,5 Longacres Road,YALLAMBIE,5580000,house,2013,4,2,2,SC_017,3563,19983,1896,31,0,hospital_075,2969,S_020,2818
52103,-37.828325,144.990346,106 Cremorne Street,CREMORNE,14410000,house,2016,3,2,1,SC_024,1919,19908,473,11,0,hospital_196,1190,S_102,2066
31791,-37.73935318,145.0151825,121 Murray Rd,PRESTON,5364000,house,2007,3,1,2,SC_103,1165,20012,1293,27,0,hospital_035,2701,S_084,1114
87149,-37.912904,145.005606,83 William Street,BRIGHTON,11280000,house,2012,3,2,2,SC_046,4127,19951,854,22,0,hospital_156,1241,S_151,742
57844,-37.828648,145.164715,22 Clifton Street,BLACKBURN,8657000,house,2011,4,2,2,SC_002,1191,19899,1266,37,0,hospital_060,898,S_066,799
51564,-37.780336,145.104534,6 Norweena Street,DONCASTER,12750000,house,2014,3,1,1,SC_009,1976,19896,4352,34,0,hospital_194,1221,S_046,1123
8733,-37.745847,144.749574,Lot 44 Granvia Circuit,BURNSIDE,4200000,house,2015,4,2,2,SC_048,1600,20001,4303,36,0,hospital_057,5942,S_156,886
14107,-37.745118,144.92805,23 Cameron Road,ESSENDON,15120000,house,2015,5,2,2,SC_082,2335,20035,182,26,0,hospital_184,2047,S_197,1550
23656,-37.641586,144.892092,46 Fleetwood Drive,GREENVALE,5340000,house,2012,3,2,2,SC_075,922,44817,3692,40,0,hospital_104,2695,S_211,921
55051,-37.847477,145.078549,141 Fordham Avenue,CAMBERWELL,14500000,house,2014,4,2,2,SC_099,3144,19850,469,32,0,hospital_089,1763,S_160,1539
57079,-37.81588,145.062003,17 Mon't Albert Road,CANTERBURY,32400000,house,2011,4,3,2,SC_099,1005,19853,1225,24,0,hospital_064,1446,S_113,1506
17338,-37.71,144.938597,49 Tassell Street,HADFIELD,9633000,house,2014,4,2,2,SC_030,2693,20033,1745,31,0,hospital_184,4652,S_004,332
48367,-37.805229,145.048735,38 Adeney Avenue,KEW,14875000,house,2013,3,1,2,SC_083,2053,19903,1928,23,0,hospital_064,388,S_039,1568
42328,-37.730778,145.102974,5 Jedem Close,VIEWBANK,13200000,house,2014,3,3,2,SC_009,4002,19986,2374,40,0,hospital_075,2866,S_020,2915
53001,-37.823434,144.991659,306/28 Tanner Street,RICHMOND,14800000,house,2013,3,1,1,SC_068,1985,19908,150,11,0,hospital_146,647,S_076,1578
46454,-37.719033,145.160924,11 Ruskin Court,ELTHAM,2640000,house,2010,3,2,2,SC_051,5051,19987,1305,44,0,hospital_075,5089,S_194,518
5397,-37.79145813,144.8464356,1 Lawton St,BRAYBROOK,1610000,house,2009,2,2,1,SC_043,1348,20021,1236,26,0,hospital_174,1961,S_149,1349
91856,-37.983632,145.041261,89 Oak Street,BEAUMARIS,13300000,house,2015,3,2,2,SC_079,3840,19865,2107,39,0,hospital_055,1031,S_011,1872
36996,-37.643611,145.056589,2 Carousel Court,EPPING,6205000,house,2015,3,1,3,SC_062,2702,45795,1108,46,0,hospital_053,3644,S_083,1686
73434,-37.84332,145.295263,29 Southey Road,BORONIA,4770000,house,2015,4,1,2,SC_022,5039,19869,2133,53,0,hospital_049,2413,S_146,2233
56897,-37.849599,145.101386,8 Edwards Street,BURWOOD,36680000,house,2015,3,1,1,SC_042,3208,19849,1848,34,0,hospital_089,1078,S_112,1991
34972,-37.727858,145.034599,43 Seston Street,RESERVOIR,6120000,house,2014,3,2,2,SC_047,1248,20010,2720,32,0,hospital_025,1428,S_225,612
26500,-37.5847287,144.9075425,31 Huntingfield Street,CRAIGIEBURN,4575000,house,2013,2,1,2,SC_016,1063,40221,3685,46,0,hospital_104,7431,S_178,2552
30296,-37.761697,144.987057,63 Leinster Grove,NORTHCOTE,8280000,house,2015,3,1,2,SC_103,2789,20015,920,21,0,hospital_144,1463,S_105,1878
92121,-37.981209,145.078569,20 Murray Street,MENTONE,6760000,house,2016,3,1,2,SC_003,1451,19865,1178,39,0,hospital_133,1045,S_003,342
82931,-37.90093,145.27134,91 Fairway Drive,ROWVILLE,14586000,house,2015,5,3,3,SC_049,3321,19868,2999,55,0,hospital_150,3693,S_199,2135
16649,-37.702423,144.919574,174 Melbourne Avenue,GLENROY,8775000,house,2015,3,1,2,SC_010,3151,20032,314,33,0,hospital_184,4619,S_209,557
54456,-37.815884,145.02193,37 Brook Street,HAWTHORN,7089000,house,2016,3,2,0,SC_083,1305,19905,667,19,0,hospital_086,879,S_208,1274
8737,-37.74549383,144.7505552,Lot 76 Granvia Circuit,BURNSIDE,4950000,house,2015,4,2,2,SC_048,1606,20001,4208,36,0,hospital_057,5870,S_156,889
66999,-37.740128,145.344179,13 Kingsburgh Lane,LILYDALE,8436000,house,2016,4,2,2,SC_084,3333,19876,1741,60,0,hospital_151,1770,S_233,2054
86071,-37.895538,145.001694,120 Cole Street,BRIGHTON,25800000,house,2016,4,2,1,SC_015,3512,19953,253,19,0,hospital_013,1015,S_193,1023
84436,-37.854656,144.993471,9 James Street,WINDSOR,12760000,house,2012,3,1,1,SC_066,819,19957,200,11,0,hospital_063,434,S_115,1271
68802,-37.85744,145.03748,1301 High Street,MALVERN,12980000,house,2014,2,2,1,SC_023,2141,19911,973,15,0,hospital_157,712,S_235,812
32941,-37.736263,145.022826,53 Kathleen Street,PRESTON,10395000,house,2010,3,1,2,SC_047,707,20011,1970,29,0,hospital_090,2385,S_225,1367
43206,-37.717937,145.08798,51 Harborne Street,MACLEOD,5238000,house,2013,3,1,2,SC_017,4546,19984,860,34,0,hospital_075,2125,S_020,1818
89743,-37.958614,145.065216,1 Fairview Avenue,CHELTENHAM,10676000,house,2009,3,1,2,SC_079,2367,19866,1294,37,0,hospital_082,767,S_023,830
37218,-37.633356,145.036326,3 Cottage Boulevard,EPPING,3440000,house,2012,4,3,2,SC_062,4790,20005,2188,43,0,hospital_053,2678,S_196,2378
41677,-37.739513,145.083092,16 Kerry Close,VIEWBANK,6714000,house,2014,4,3,1,SC_017,2217,19936,1539,28,0,hospital_066,2567,S_100,2539
93717,-38.007651,145.090866,86 Barkly Street,MORDIALLOC,14840000,house,2011,4,2,2,SC_003,4068,19863,305,44,0,hospital_001,2469,S_119,370
77113,-37.936768,145.100928,15 Cooinda Crescent,CLARINDA,9685000,house,2015,4,2,2,SC_003,3964,19915,2185,39,0,hospital_076,2401,S_170,1794
72402,-37.851608,145.255838,43 Mareeba Crescent,BAYSWATER,6160000,house,2013,3,2,0,SC_032,4935,19870,1542,50,0,hospital_002,1167,S_139,1367
72860,-37.85343933,145.2950897,11 Stoneleigh Ave,BORONIA,4800000,house,2008,2,1,1,SC_049,4705,19869,1222,53,0,hospital_049,1491,S_146,1244
87751,-37.942304,145.00662,45 Linacre Road,HAMPTON,14490000,house,2014,4,2,3,SC_046,2802,19949,661,27,0,hospital_036,255,S_088,691
18648,-37.67071533,144.9337769,3 Warragul Street,DALLAS,5040000,house,2009,3,1,1,SC_072,2444,19960,1253,39,0,hospital_104,2520,S_153,1347
52701,-37.825347,145.00235,210 Coppin Street,RICHMOND,18200000,house,2016,3,2,3,SC_038,1772,19907,479,6,0,hospital_122,605,S_102,1748
67591,-37.743132,145.362513,58 Trafalgar Crescent,LILYDALE,5775000,house,2016,3,1,2,SC_084,4591,19876,1897,60,0,hospital_151,1183,S_233,1988
131,-37.794487,144.891094,1/44 Creswick Street,FOOTSCRAY,3456000,house,2012,2,1,2,SC_085,2348,20024,893,18,0,hospital_003,305,S_201,925
20832,-37.7699585,144.9671326,23 Evans Street,BRUNSWICK,4720000,house,2008,2,2,0,SC_030,4440,19968,709,21,0,hospital_144,1556,S_074,627
41837,-37.73815536,145.071167,20 St. Andrews Avenue,ROSANNA,1400000,house,2009,3,3,3,SC_017,1974,19936,687,28,0,hospital_066,2075,S_100,2351
55938,-37.833821,145.079998,791 Riversdale Road,CAMBERWELL,8559000,house,2016,2,1,2,SC_099,2200,19851,879,30,0,hospital_168,2585,S_160,802
97104,-38.01727676,145.2815704,93 Hinrichsen Drive,HALLAM,3610000,house,2009,3,2,2,SC_077,3213,19885,1036,59,0,hospital_069,2538,S_087,1677
82169,-37.993997,145.240024,4 Eugenia Street,DOVETON,17250000,house,2012,3,2,1,SC_077,1442,19888,2696,54,0,hospital_119,2095,S_184,2198
74252,-37.883179,145.033944,159 KAMBROOK ROAD,CAULFIELD,11730000,house,2011,5,2,2,SC_023,1104,19943,987,23,0,hospital_080,1618,S_166,652
54928,-37.834448,145.063991,11 Nelson Road,CAMBERWELL,22610000,house,2011,3,2,2,SC_099,1241,19851,572,30,0,hospital_168,1510,S_160,619
1984,-37.780584,144.868374,20 Dunedin Street,MAIDSTONE,8750000,house,2010,2,1,2,SC_043,1576,20022,2132,22,0,hospital_056,2100,S_131,1529
17434,-37.69581223,144.9316711,55 BINDI STREET,GLENROY,3600000,house,2009,4,1,0,SC_059,4201,20031,1396,35,0,hospital_104,5119,S_209,1320
20878,-37.774466,144.952195,25 Gray Street,BRUNSWICK,24640000,house,2016,4,2,1,SC_011,3292,19969,577,20,0,hospital_102,907,S_074,861
40409,-37.700885,145.077206,33 Darren Avenue,BUNDOORA,5500000,house,2015,3,2,1,SC_062,5526,19984,1262,34,0,hospital_041,1636,S_155,1983
69839,-37.86559296,145.0783997,27 Lexia Street,ASHBURTON,10670000,house,2009,3,2,2,SC_042,1743,19847,323,37,0,hospital_098,604,S_112,1353
55496,-37.833906999999996,145.074053,3/694 Riversdale Road,CAMBERWELL,9130000,house,2013,3,2,2,SC_099,1765,19851,387,30,0,hospital_168,2151,S_160,295
60190,-37.816347,145.209152,657 Whitehorse Road,MITCHAM,5895000,house,2014,3,1,1,SC_032,1775,19901,427,41,0,hospital_010,1477,S_040,1792
56936,-37.850124,145.131044,9 Johnston Street,BURWOOD,19250000,house,2015,5,2,2,SC_037,3542,19875,2810,30,0,hospital_047,833,S_097,417
62522,-37.835134,145.241273,12 Eden Avenue,HEATHMONT,4509000,house,2010,3,2,0,SC_032,2722,19871,811,46,0,hospital_179,1999,S_139,2415
84793,-37.875154,144.980641,24 Addison Street,ELWOOD,11360000,house,2013,3,2,2,SC_015,720,19955,1285,15,0,hospital_103,1892,S_017,761
60799,-37.838538,145.19668,5 Kingsclere Street,VERMONT,15440000,house,2016,4,1,1,SC_088,2615,19900,2322,40,0,hospital_008,2914,S_202,2426
94708,-37.92517853,145.0417175,12 Vale Street,BENTLEIGH,7920000,house,2007,3,2,2,SC_046,1622,19938,549,39,0,hospital_110,978,S_107,630
18033,-37.671853,144.944085,11 Avenel Street,DALLAS,4004000,house,2014,3,1,3,SC_072,3038,19960,684,39,0,hospital_104,3146,S_153,2095
42170,-37.73648,145.071995,38 Pyalong Avenue,ROSANNA,11220000,house,2015,2,1,1,SC_017,2168,19936,879,28,0,hospital_066,2275,S_100,2544
52408,-37.815371,144.997541,151 Highett Street,RICHMOND,14280000,house,2012,3,1,0,SC_068,2245,19978,540,7,0,hospital_042,115,S_076,665
14203,-37.751621,144.92178,29 Brewster Street,ESSENDON,3731000,house,2016,4,3,3,SC_082,2427,20036,497,24,0,hospital_128,1731,S_197,1271
41526,-37.743873,145.061004,12 Mount Ida Avenue,ROSANNA,12285000,house,2015,2,1,0,SC_017,1480,19936,465,28,0,hospital_090,1227,S_100,1823
55891,-37.843008,145.055764,7 Davis Avenue,CAMBERWELL,31360000,house,2009,3,2,2,SC_099,2087,19912,1199,17,0,hospital_168,338,S_113,1563
50967,-37.782206,145.140021,2 Golden Court,DONCASTER,8970000,house,2012,3,2,2,SC_091,1349,19897,4294,35,0,hospital_194,2396,S_188,1507
